id	top_0	top_1	top_2	top_3	top_4	top_5	top_6	top_7	top_8	top_9	top_10	top_11	top_12	top_13	top_14	top_15	top_16	top_17	top_18	top_19
0	10	381	390	609	134	44	632	104	167	608	726	505	612	414	207	128	417	420	124	153
1	78	151	23	669	264	546	1528	51	246	64	110	90	244	44	428	210	195	280	199	434
2	711	97	92	132	217	210	60	273	755	48	713	151	587	15	160	171	40	213	714	26
3	44	669	209	64	97	714	434	48	199	132	92	611	662	743	136	78	51	246	62	151
4	515	372	524	542	454	435	790	958	134	470	167	788	527	493	457	336	322	1014	1011	505
5	134	27	1194	171	729	880	690	1256	547	437	26	726	9	113	4	382	124	5	719	104
6	62	189	160	124	60	44	117	64	127	128	210	125	895	217	51	155	246	244	255	126
7	167	128	264	259	1528	312	529	246	104	520	305	151	123	1106	704	38	593	328	542	538
8	244	499	23	68	831	184	134	92	116	97	256	381	283	305	171	406	509	44	189	2091
9	608	64	612	381	426	46	682	273	1046	798	127	385	603	414	218	662	221	168	792	864
10	515	315	350	116	527	221	335	40	537	244	243	381	176	167	1200	793	316	499	618	470
11	44	124	104	434	206	611	246	97	51	199	48	64	40	189	113	321	420	116	9	132
12	619	605	767	26	714	217	155	630	1018	762	209	775	748	195	166	151	641	214	210	264
13	104	315	246	669	0	128	305	515	372	44	766	23	420	273	350	3	524	167	499	124
14	264	171	132	151	51	27	246	501	437	895	195	97	4	59	160	512	120	39	454	905
15	352	866	69	501	788	1691	919	897	332	800	943	915	862	876	877	2237	508	1366	790	38
16	62	209	60	1241	775	555	758	493	605	119	762	246	214	98	364	1008	51	43	86	546
17	124	113	26	132	528	186	33	151	78	264	195	538	619	92	119	605	646	783	171	643
18	64	273	294	651	68	5	86	92	202	603	1000	62	929	860	1162	743	993	936	9	188
19	189	113	44	60	64	124	92	160	127	237	62	128	51	171	38	244	116	5	541	264
20	60	783	733	50	44	10	32	939	237	1904	132	34	591	287	673	2203	1316	628	620	622
21	189	116	40	537	44	1118	514	104	171	151	259	5	243	168	188	48	117	808	128	331
22	1241	64	643	1014	113	740	22	127	1005	1270	5	277	206	322	213	432	288	192	220	434
23	104	547	5	184	124	26	171	382	64	221	381	40	167	315	283	41	19	176	392	290
24	132	189	97	104	68	277	155	62	38	929	40	287	512	5	619	86	26	605	860	217
25	729	89	695	400	1194	521	385	274	382	399	264	871	386	1364	692	688	895	537	675	1301
26	559	9	766	611	199	124	246	629	662	633	719	0	1253	174	1158	51	434	64	562	617
27	134	9	128	381	321	244	0	661	153	505	283	22	669	1158	559	48	662	726	417	1106
28	215	714	214	211	664	44	199	127	57	1018	213	546	1578	728	990	132	2292	160	1563	1285
29	524	372	280	831	246	499	505	43	266	383	3	305	68	134	444	317	2180	1902	529	435
30	633	175	15	585	1236	755	600	562	1795	851	45	183	1298	617	76	1516	631	696	177	1509
31	499	167	23	3	68	831	244	524	184	134	280	305	372	92	283	43	256	505	509	44
32	1158	209	1131	44	246	486	153	431	964	611	84	428	743	67	1582	719	338	714	236	48
33	116	547	13	729	171	89	19	84	1301	207	382	521	715	426	335	900	828	419	4	792
34	723	153	411	134	414	109	199	547	770	321	0	661	23	392	115	170	381	865	2041	26
35	64	184	669	92	128	259	177	755	171	547	15	1228	134	206	642	67	499	167	156	58
36	283	729	104	690	33	10	40	207	14	27	390	4	189	400	381	1256	221	134	331	1333
37	690	1256	557	1024	396	27	576	1359	283	1526	164	593	10	116	89	39	1745	1528	1592	1338
38	104	866	454	69	897	873	3	501	800	508	898	541	516	512	1135	332	869	243	881	936
39	99	6	1472	655	44	215	113	748	199	1698	1468	845	528	1071	975	216	728	1080	641	1154
40	104	134	4	263	128	305	381	132	790	184	40	167	283	171	788	50	733	113	116	435
41	643	214	641	758	217	754	189	277	775	737	975	1041	558	112	1075	587	611	615	1241	1674
42	352	880	4	866	231	3	69	305	332	862	937	800	733	501	908	273	508	932	870	732
43	44	10	64	632	207	612	682	209	46	189	97	390	596	1005	14	331	635	715	33	1046
44	690	400	803	396	1338	221	1681	1038	674	1364	583	521	392	723	1644	1516	1596	369	1386	1024
45	2376	1505	1178	2382	1818	1899	2393	1217	2651	2641	2383	3006	1006	3108	1977	1732	1134	1229	1994	2671
46	51	244	246	420	105	1106	104	280	669	48	1528	109	9	124	381	661	153	505	259	26
47	64	33	60	151	390	163	575	567	62	608	45	711	590	843	335	1256	713	1341	164	755
48	44	97	127	78	92	217	51	246	128	259	714	669	376	26	546	186	743	432	167	209
49	517	831	499	406	519	545	3	178	1712	173	544	237	349	541	1244	531	2279	267	522	2056
50	499	517	837	531	68	349	949	3	4	38	406	184	1162	541	519	885	524	533	331	788
51	97	264	240	132	92	78	160	65	189	130	432	90	406	903	163	93	1712	137	72	319
52	322	555	98	970	263	96	542	758	714	958	619	189	1190	119	529	646	242	1155	1258	1328
53	633	766	183	177	22	756	1195	723	797	1448	13	562	1001	547	755	696	1348	1310	45	273
54	104	48	23	51	44	124	9	26	381	40	127	669	113	0	246	123	64	171	105	27
55	116	515	315	171	221	164	40	317	283	168	470	529	305	509	335	273	124	437	505	669
56	949	499	831	517	340	349	885	1712	519	541	860	1887	1162	545	173	853	3	178	1157	1105
57	113	586	160	119	603	678	666	48	740	741	40	218	19	622	273	23	720	116	600	755
58	9	726	661	669	662	124	23	26	1253	611	64	128	2	22	665	381	184	218	1348	127
59	264	195	189	166	151	160	132	113	895	78	150	62	48	319	116	891	90	1256	120	117
60	544	545	519	387	340	267	178	237	522	860	3	1524	992	1887	949	429	1882	2241	831	993
61	136	382	1310	1272	153	1503	171	792	1528	770	116	128	729	719	437	1586	321	945	42	124
62	231	315	897	317	1135	732	800	305	263	4	445	919	372	908	516	3	363	877	68	932
63	132	113	97	60	48	189	44	541	4	406	788	128	317	40	124	837	50	85	263	171
64	92	151	895	195	97	128	150	189	117	123	23	160	713	90	167	68	163	669	27	85
65	4	44	22	92	40	237	50	64	189	3	531	15	273	517	541	127	38	5	60	116
66	420	153	105	719	0	669	428	9	559	199	23	766	1545	770	414	629	87	128	143	1586
67	134	206	420	499	44	315	321	381	50	9	723	0	124	535	177	64	797	51	246	84
68	167	51	383	453	1106	258	23	306	355	246	1902	520	67	1096	312	259	337	505	2180	542
69	790	897	876	873	454	908	898	800	880	2215	881	889	877	372	733	937	516	869	445	2237
70	104	68	38	541	406	237	788	4	44	92	48	64	519	733	860	132	69	124	134	60
71	116	23	167	38	3	113	27	381	51	283	437	40	68	44	92	124	244	132	246	499
72	605	107	86	44	1018	1075	195	740	647	1674	1101	1103	125	843	1209	1655	1000	737	277	1133
73	420	321	766	23	128	1240	184	0	661	486	67	629	174	170	134	945	434	167	275	48
74	34	1043	682	620	35	632	907	33	46	2283	1025	2289	16	2193	388	40	608	1867	596	2284
75	499	48	184	23	831	280	132	315	97	92	305	113	517	256	505	531	116	515	189	67
76	352	866	908	305	501	800	184	897	919	372	898	515	881	880	332	889	1135	134	4	915
77	412	539	535	723	381	134	33	45	1311	400	608	361	645	648	1520	260	726	639	690	1454
78	104	3	406	68	38	48	533	92	113	128	1712	541	134	23	51	85	831	132	27	167
79	40	92	44	104	189	167	124	10	381	132	38	33	280	26	151	437	264	134	39	4
80	559	669	1231	44	1466	136	1158	1092	1237	718	743	206	124	994	661	213	51	338	1283	236
81	48	92	322	60	246	155	280	437	283	156	68	251	905	137	1058	64	124	133	465	86
82	64	237	1691	541	788	939	132	124	359	113	651	5	860	531	935	932	189	862	184	40
83	97	64	113	189	62	160	22	26	669	78	128	210	643	51	213	277	743	155	214	528
84	68	406	519	541	178	38	517	949	831	499	1157	544	1935	860	872	387	545	524	1712	429
85	10	25	390	8	4	1046	9	33	612	609	46	632	682	40	50	32	37	608	17	2203
86	497	643	60	1018	78	1092	64	528	546	62	714	1226	189	160	1041	214	646	767	119	664
87	104	174	105	128	559	246	199	124	661	770	22	244	9	565	1348	134	15	633	273	206
88	104	44	127	124	97	68	64	184	669	92	22	189	499	113	5	132	51	237	434	217
89	104	259	246	132	244	145	195	264	290	148	128	113	343	97	272	432	255	240	326	78
90	766	183	1298	206	199	770	797	22	13	104	392	631	756	865	565	170	84	1292	1310	755
91	33	60	25	44	1691	64	541	35	1523	1846	26	939	632	935	1076	124	273	22	783	2203
92	132	155	195	762	643	64	630	646	1018	124	117	133	564	217	1133	187	205	120	1715	1198
93	1005	1808	1810	1179	1114	1811	1812	1111	974	1130	868	594	603	209	1570	1000	1505	1732	1131	294
94	104	244	246	259	145	171	60	44	160	195	280	40	64	134	432	184	272	38	127	68
95	104	167	280	171	124	27	381	113	26	38	127	283	669	246	547	189	97	264	85	420
96	1450	1448	1240	665	1253	960	1454	1491	766	1511	1158	2040	1503	174	1619	111	1534	1582	199	718
97	104	124	44	22	113	189	97	92	127	26	15	171	5	273	84	116	132	60	51	168
98	104	499	531	519	949	173	1105	524	349	178	2091	885	544	1157	1613	1244	1485	317	429	40
99	113	189	97	132	78	62	151	195	264	210	117	217	90	643	148	171	166	26	895	126
100	195	60	117	78	605	163	150	843	124	92	895	133	146	148	630	264	151	72	186	130
101	104	38	788	273	231	541	50	766	44	454	1348	790	669	732	246	263	64	199	69	519
102	60	58	264	202	432	564	64	126	843	44	319	762	137	124	48	1184	188	555	90	1145
103	788	38	873	454	919	876	69	800	908	305	445	3	866	315	516	68	372	508	732	1387
104	97	127	217	210	113	78	209	62	643	92	199	664	434	546	60	160	136	211	189	711
105	417	381	723	420	414	729	9	369	26	174	1256	221	171	5	803	238	1194	283	1106	45
106	559	136	199	1253	338	121	629	1237	1675	1963	434	560	1847	839	1283	486	960	1466	1451	159
